iter	MultiClass
0	2.198194343
1	2.11027853
2	2.029530154
3	1.939937119
4	1.875002137
5	1.791085955
6	1.724856452
7	1.660567779
8	1.604248261
9	1.544406309
10	1.492781973
11	1.435144932
12	1.390375937
13	1.34414653
14	1.309071317
15	1.27426412
16	1.237763749
17	1.208502242
18	1.178265189
19	1.144072911
20	1.118081741
21	1.090216091
22	1.064580714
23	1.040288985
24	1.01660245
25	0.9905901629
26	0.96749736
27	0.9434631697
28	0.9232718779
29	0.9034728552
30	0.8851571465
31	0.8674249182
32	0.8486389587
33	0.8337443703
34	0.8177962085
35	0.8046516038
36	0.7902168448
37	0.7756358265
38	0.7605028294
39	0.7466581118
40	0.7303404394
41	0.7153676824
42	0.7042376089
43	0.6901647283
44	0.6800885754
45	0.6696331976
46	0.6589194763
47	0.6465388112
48	0.6344539154
49	0.6262590137
50	0.6166836036
51	0.6069978862
52	0.5979473312
53	0.5880978865
54	0.5778957813
55	0.5685057822
56	0.5603864408
57	0.5511955406
58	0.5457836634
59	0.5364999787
60	0.5285419076
61	0.5222088491
62	0.5142810055
63	0.5082467841
64	0.5015052678
65	0.4954538294
66	0.4901424073
67	0.4847575322
68	0.4785839949
69	0.4716795489
70	0.4643608002
71	0.4599539378
72	0.4541064973
73	0.4478688107
74	0.4414476752
75	0.4374456122
76	0.4321408845
77	0.426812472
78	0.4228526912
79	0.4170019144
80	0.4120930908
81	0.4073621436
82	0.401169791
83	0.3956404722
84	0.3906971902
85	0.385285287
86	0.3795918879
87	0.374556299
88	0.3707437169
89	0.3661489618
90	0.3610636023
91	0.3564346393
92	0.3519470891
93	0.3477058819
94	0.3455426836
95	0.3425599843
96	0.3395023875
97	0.335542008
98	0.3317849256
99	0.3275590491
100	0.3235559206
101	0.321484046
102	0.3187309398
103	0.314566193
104	0.311179626
105	0.3070595511
106	0.3062554673
107	0.3046515026
108	0.3024820087
109	0.2994261763
110	0.2957614367
111	0.2945164158
112	0.2924879828
113	0.2882520507
114	0.2856747917
115	0.2825016611
116	0.280579559
117	0.2790106964
118	0.2758309758
119	0.2744123928
120	0.2710560403
121	0.2684172182
122	0.2676594193
123	0.2674079296
124	0.2656770807
125	0.2654038372
126	0.2635358517
127	0.2611748774
128	0.2591655958
129	0.2584533905
130	0.2572946454
131	0.255019327
132	0.2532223599
133	0.2515772841
134	0.2506109098
135	0.2488487622
136	0.2478281928
137	0.2460759662
138	0.2458602145
139	0.2448400913
140	0.2431931543
141	0.2414967095
142	0.2390123524
143	0.2384378556
144	0.237649127
145	0.2356848062
