iter	Passed	Remaining
0	379	378886
1	587	293184
2	841	279578
3	1049	261233
4	1267	252199
5	1476	244590
6	1685	239093
7	1895	235061
8	2098	231042
9	2306	228373
10	2498	224651
11	2695	221931
12	2878	218575
13	3074	216509
14	3257	213924
15	3451	212269
16	3633	210095
17	3822	208539
18	4001	206583
19	4195	205596
20	4375	203997
21	4570	203195
22	4754	201945
23	4948	201236
24	5134	200237
25	5333	199809
26	5518	198884
27	5719	198535
28	5903	197670
29	6102	197314
30	6288	196551
31	6481	196076
32	6664	195276
33	6851	194663
34	7037	194031
35	7220	193357
36	7401	192645
37	7590	192149
38	7772	191530
39	7960	191049
40	8141	190431
41	8325	189890
42	8507	189331
43	8693	188888
44	8875	188361
45	9060	187907
46	9245	187464
47	9438	187188
48	9626	186830
49	9818	186548
50	9999	186077
51	10192	185810
52	10381	185501
53	10574	185250
54	10762	184915
55	10958	184729
56	11137	184250
57	11327	183975
58	11509	183559
59	11701	183317
60	11881	182904
61	12067	182567
62	12248	182168
63	12432	181825
64	12618	181509
65	12838	181686
66	13019	181297
67	13205	180996
68	13390	180671
69	13580	180421
70	13763	180093
71	13949	179796
72	14132	179468
73	14315	179141
74	14497	178804
75	14687	178567
76	14872	178273
77	15061	178040
78	15242	177705
79	15425	177390
80	15602	177023
81	15785	176716
82	15965	176387
83	16148	176094
84	16322	175704
85	16510	175469
86	16691	175169
87	16880	174945
88	17063	174659
89	17249	174408
90	17431	174120
91	17618	173887
92	17797	173578
93	17982	173317
94	18165	173046
95	18349	172787
96	18534	172546
97	18720	172308
98	18899	172008
99	19084	171756
100	19263	171465
101	19447	171209
102	19625	170912
103	19808	170656
104	19985	170354
105	20169	170109
106	20348	169826
107	20576	169947
108	20767	169762
109	20954	169541
110	21132	169246
111	21309	168957
112	21514	168878
113	21707	168711
114	21892	168473
115	22071	168199
116	22257	167974
117	22430	167659
118	22616	167440
119	22798	167187
120	22985	166977
121	23164	166710
122	23347	166471
123	23530	166232
124	23714	166003
125	23893	165738
