iter	MultiClass
0	1.458273287
1	1.352552156
2	1.273398196
3	1.203686064
4	1.151979808
5	1.105031779
6	1.063060639
7	1.030759299
8	1.000251972
9	0.9753868806
10	0.9533038028
11	0.9345759927
12	0.9172918621
13	0.9020402859
14	0.8874969952
15	0.8734858641
16	0.8628885893
17	0.8521819055
18	0.8426310707
19	0.8349252519
20	0.8260298749
21	0.817816268
22	0.8104579923
23	0.8035650118
24	0.7974035618
25	0.7915915808
26	0.7868593238
27	0.784195839
28	0.7810456925
29	0.7762038493
30	0.7724444794
31	0.7681300454
32	0.764997146
33	0.7626731845
34	0.7583853898
35	0.7551438481
36	0.7529495853
37	0.7510699885
38	0.7491740428
39	0.7471559427
40	0.7454947909
41	0.7434326432
42	0.7418629628
43	0.7401217985
44	0.7394149955
45	0.7369336201
46	0.7356037145
47	0.7346371415
48	0.7328456866
49	0.7311655623
50	0.7301954188
51	0.7289315168
52	0.7282122399
53	0.7270637219
54	0.7263076296
55	0.7255274761
56	0.724561738
57	0.7234070306
58	0.7216803013
59	0.7206980593
60	0.7189159172
61	0.7182638028
62	0.7169472642
63	0.7157517646
64	0.7145385087
65	0.7135316525
66	0.7124200028
67	0.7110063344
68	0.7094938588
69	0.7088555313
70	0.7082638383
71	0.7076632467
72	0.7065931405
73	0.7054028145
74	0.7046153738
75	0.7038667655
76	0.703193803
77	0.7022180594
78	0.7013288109
79	0.7007421293
80	0.7000769712
81	0.6994743009
82	0.6984276018
83	0.6979882458
84	0.6975163128
85	0.6968329476
86	0.6961757771
87	0.6945370723
88	0.6934718413
89	0.6928067208
90	0.6915976677
91	0.6902952911
92	0.6894894717
93	0.689161512
94	0.6884367007
95	0.6875589972
96	0.6865573226
97	0.6861360943
98	0.6857028666
99	0.6851435574
100	0.6843109156
101	0.6836207431
102	0.6830975794
103	0.6825863003
104	0.6819059167
105	0.6813071799
106	0.6807222224
107	0.6797402056
108	0.6790538966
109	0.6783689817
110	0.6777334659
111	0.6766011613
112	0.6761911805
113	0.6758044674
114	0.6749518278
115	0.6742891234
116	0.6736864922
117	0.6733531433
118	0.6728488896
119	0.6719247705
120	0.671389186
121	0.6709086182
122	0.6697207969
123	0.6687750042
124	0.668106778
125	0.667836652
126	0.6671207875
127	0.6665431548
128	0.6661940524
129	0.665808632
130	0.6648276501
131	0.6636512431
132	0.6628281746
133	0.6623690223
134	0.6620146788
135	0.6615549904
136	0.6611211398
137	0.6605994703
138	0.6601539354
139	0.6597476061
140	0.6590787758
141	0.6583463986
142	0.657891485
143	0.6574168645
144	0.6571284628
145	0.6566673598
146	0.6560435917
147	0.6557133482
148	0.6551199368
149	0.6544509912
150	0.6539768773
151	0.653531453
152	0.6528909322
153	0.6522580719
154	0.6517856511
155	0.6515422547
156	0.6509837836
157	0.6507148752
158	0.650455986
159	0.6500702592
160	0.6498476035
161	0.6488771668
162	0.648464388
163	0.6474201788
164	0.6469181549
165	0.6464323396
166	0.6459570514
167	0.6455006917
168	0.6451564333
169	0.6448075084
170	0.6445349315
171	0.6441496948
172	0.6438003614
173	0.6435309376
174	0.6433513847
175	0.6426251519
176	0.6420399457
177	0.6417218222
178	0.6413370705
179	0.6410626033
180	0.6404381102
181	0.6399723526
182	0.6396139285
183	0.6388521438
184	0.6385917263
185	0.6381688583
186	0.6377703263
187	0.6371446717
188	0.6366612119
189	0.6360059793
190	0.6355544877
191	0.6350320811
