iter	Passed	Remaining
0	12	12622
1	24	12132
2	36	12027
3	48	12024
4	59	11810
5	68	11343
6	77	10954
7	86	10769
8	95	10531
9	104	10296
10	112	10134
11	122	10054
12	131	9951
13	140	9924
14	149	9845
15	160	9892
16	168	9761
17	176	9643
18	186	9621
19	194	9542
20	203	9477
21	212	9433
22	220	9365
23	228	9304
24	239	9333
25	250	9381
26	261	9426
27	271	9419
28	279	9368
29	289	9348
30	297	9314
31	307	9291
32	315	9235
33	323	9190
34	333	9204
35	342	9173
36	351	9144
37	360	9120
38	370	9125
39	380	9134
40	389	9112
41	399	9103
42	408	9088
43	417	9070
44	427	9062
45	436	9048
46	448	9092
47	460	9138
48	470	9140
49	483	9187
50	492	9164
51	503	9174
52	513	9177
53	523	9179
54	534	9177
55	543	9158
56	553	9162
57	563	9149
58	573	9143
59	582	9132
60	592	9122
61	604	9140
62	614	9139
63	624	9134
64	634	9132
65	644	9123
66	655	9124
67	664	9109
68	673	9093
69	684	9087
70	693	9071
71	704	9073
72	713	9065
73	723	9059
74	733	9049
75	744	9055
76	753	9035
77	763	9021
78	772	9007
79	782	8996
80	793	9004
81	803	8992
82	813	8984
83	823	8975
84	832	8961
85	842	8957
86	852	8942
87	861	8928
88	872	8932
89	883	8928
90	894	8933
91	904	8928
92	913	8913
93	923	8897
94	934	8901
95	946	8912
96	957	8914
97	968	8909
98	979	8910
99	990	8911
100	1000	8907
101	1011	8901
102	1021	8891
103	1031	8886
104	1041	8881
105	1051	8870
106	1062	8866
107	1071	8850
108	1082	8849
109	1093	8845
110	1103	8839
111	1113	8827
112	1122	8813
113	1132	8802
114	1142	8790
115	1150	8769
116	1160	8758
117	1170	8751
118	1180	8738
119	1192	8743
120	1202	8732
121	1212	8722
122	1222	8713
123	1230	8694
124	1241	8689
125	1250	8675
126	1260	8665
127	1271	8664
128	1279	8641
129	1289	8631
130	1300	8623
131	1309	8612
132	1319	8604
133	1328	8582
134	1337	8569
135	1345	8550
136	1356	8543
137	1365	8531
138	1374	8515
139	1384	8504
140	1393	8490
141	1404	8486
142	1413	8468
143	1423	8460
144	1433	8450
145	1442	8436
146	1453	8433
147	1463	8423
148	1472	8411
149	1483	8406
150	1494	8403
151	1504	8395
152	1515	8389
153	1524	8373
154	1535	8368
155	1544	8355
156	1553	8342
157	1564	8336
158	1572	8317
159	1582	8308
160	1591	8291
161	1600	8280
162	1612	8278
163	1621	8265
164	1633	8264
165	1645	8264
166	1654	8250
167	1665	8249
168	1676	8242
169	1685	8229
170	1696	8225
171	1706	8215
172	1715	8200
173	1724	8186
174	1732	8168
175	1745	8170
176	1755	8162
177	1765	8151
178	1776	8145
179	1784	8130
180	1795	8126
181	1806	8117
182	1815	8104
183	1826	8100
184	1836	8092
185	1846	8080
186	1857	8074
187	1865	8057
188	1876	8050
189	1886	8041
190	1895	8029
191	1906	8021
192	1915	8009
193	1926	8003
194	1936	7992
195	1945	7980
196	1956	7975
197	1965	7960
198	1976	7954
199	1986	7945
200	1996	7937
201	2007	7930
202	2017	7920
203	2027	7911
204	2038	7906
205	2048	7897
206	2058	7887
207	2069	7881
208	2078	7867
