iter	Passed	Remaining
0	150	14858
1	162	7981
2	176	5702
3	184	4435
4	191	3636
5	196	3079
6	201	2672
7	205	2364
8	209	2114
9	212	1913
10	216	1750
11	219	1611
12	222	1486
13	224	1381
14	227	1289
15	229	1207
16	233	1137
17	235	1074
18	238	1017
19	241	964
20	244	918
21	247	876
22	250	837
23	252	801
24	255	766
25	258	736
26	261	707
27	265	681
28	267	655
29	270	632
30	273	609
31	276	588
32	280	568
33	282	549
34	285	530
35	288	513
36	291	496
37	294	480
38	297	465
39	300	450
40	303	436
41	306	423
42	309	410
43	312	397
44	315	385
45	317	373
46	320	361
47	323	350
48	327	340
49	329	329
50	331	318
51	335	309
52	338	299
53	341	290
54	344	281
55	347	272
56	350	264
57	353	255
58	356	247
59	359	239
60	362	231
61	365	223
62	368	216
63	371	208
64	374	201
65	376	194
66	379	186
67	382	180
68	385	173
69	388	166
70	391	159
71	394	153
72	397	147
73	400	140
74	403	134
75	406	128
76	409	122
77	412	116
78	415	110
79	418	104
80	421	98
81	424	93
82	426	87
83	430	81
84	433	76
85	436	71
86	438	65
87	442	60
88	444	54
89	447	49
90	450	44
91	453	39
92	456	34
93	459	29
94	461	24
95	464	19
96	467	14
97	470	9
98	474	4
99	476	0
