iter	Passed	Remaining
0	6	3113
1	13	3470
2	18	3145
3	25	3201
4	31	3125
5	36	2998
6	44	3124
7	49	3055
8	54	2989
9	60	2974
10	68	3025
11	75	3079
12	80	3029
13	85	2984
14	93	3022
15	98	2979
16	104	2979
17	110	2965
18	115	2934
19	123	2954
20	128	2931
21	133	2911
22	141	2925
23	146	2898
24	153	2921
25	160	2919
26	165	2896
27	170	2870
28	175	2846
29	180	2830
30	188	2847
31	193	2826
32	199	2824
33	205	2816
34	210	2797
35	218	2815
36	223	2798
37	228	2781
38	235	2786
39	240	2770
40	249	2788
41	254	2774
42	259	2758
43	265	2754
44	272	2753
45	279	2755
46	284	2741
47	289	2725
48	296	2729
49	301	2715
50	306	2699
51	314	2709
52	319	2692
53	326	2692
54	331	2684
55	336	2670
56	343	2672
57	348	2656
58	353	2643
59	359	2639
60	366	2636
61	373	2637
62	378	2628
63	383	2615
64	391	2617
65	396	2606
66	401	2596
67	409	2598
68	414	2586
69	420	2584
70	426	2576
71	431	2563
72	438	2564
73	443	2550
74	448	2538
75	456	2544
76	461	2534
77	467	2528
78	473	2524
79	478	2514
80	486	2516
81	491	2506
82	496	2496
83	503	2494
84	508	2483
85	515	2480
86	520	2472
87	526	2463
88	533	2465
89	539	2455
90	544	2447
91	551	2444
92	556	2434
93	563	2431
94	569	2427
95	575	2419
96	583	2424
97	591	2425
98	602	2438
99	610	2440
100	617	2441
101	624	2437
102	630	2430
103	635	2418
104	642	2415
105	647	2405
106	652	2395
107	657	2385
108	665	2388
109	673	2386
110	679	2381
111	684	2371
112	691	2369
113	697	2360
114	703	2353
115	709	2348
116	714	2339
117	722	2337
118	727	2329
119	732	2320
120	738	2311
121	743	2302
122	747	2292
123	755	2289
124	760	2281
125	765	2273
126	772	2267
127	778	2261
128	785	2258
129	790	2250
130	796	2243
131	803	2240
132	808	2231
133	816	2229
134	821	2221
135	827	2213
136	831	2204
137	836	2194
138	841	2186
139	847	2180
140	852	2171
141	857	2162
142	863	2156
143	870	2151
144	876	2145
145	882	2140
146	887	2132
147	895	2130
148	901	2122
149	907	2118
150	913	2112
151	918	2103
152	923	2095
153	928	2086
154	933	2078
155	939	2072
156	945	2066
157	951	2058
158	956	2052
159	963	2047
160	969	2040
161	976	2036
162	981	2028
163	987	2023
164	993	2016
165	998	2008
166	1005	2004
167	1010	1996
168	1015	1989
169	1020	1981
170	1025	1973
171	1030	1965
172	1038	1962
173	1043	1954
174	1048	1947
175	1055	1943
176	1061	1936
177	1068	1932
