iter	RMSE
0	1.124805674
1	1.057691517
2	1.001878045
3	0.9494538499
4	0.9029982021
5	0.8647405116
6	0.8322951214
7	0.8026470679
8	0.7755416018
9	0.748307427
10	0.727298566
11	0.7063356082
12	0.687635067
13	0.6691238531
14	0.6545856786
15	0.6423693345
16	0.6283625715
17	0.6159043573
18	0.6051704729
19	0.5959265427
20	0.5877111094
21	0.5782363294
22	0.5707691245
23	0.5629465008
24	0.5548991691
25	0.5492924929
26	0.5435251567
27	0.5377659833
28	0.5316862571
29	0.5277733566
30	0.5222930614
31	0.517842951
32	0.5135458277
33	0.5105439278
34	0.5055783898
35	0.5021455127
36	0.4980792311
37	0.4937371056
38	0.4909998382
39	0.4869293434
40	0.4828233781
41	0.4800724765
42	0.4760273509
43	0.4728086005
44	0.4704595051
45	0.467789859
46	0.4647428156
47	0.4625645929
48	0.4596915949
49	0.4567892798
50	0.4542838828
51	0.452160909
52	0.4500078659
53	0.4481347285
54	0.4448942758
55	0.4430794294
56	0.440795354
57	0.4390825386
58	0.4368561841
59	0.4350117307
60	0.4328557761
61	0.4310479626
62	0.4303286142
63	0.4285661324
64	0.4272749169
65	0.4253721178
66	0.4236648494
67	0.4218721787
68	0.4205367286
69	0.4187508369
70	0.4173917507
71	0.4164772582
72	0.4149180107
73	0.4131745213
74	0.4115810061
75	0.4104210392
76	0.4088988505
77	0.4070756807
78	0.4061201705
79	0.4044944883
80	0.403209162
81	0.4016707156
82	0.4003507561
83	0.39892998
84	0.3978083578
85	0.3958887934
86	0.3941106953
87	0.3931603969
88	0.3920065986
89	0.3906084148
90	0.3897455441
91	0.3884321683
92	0.386974676
93	0.3854560466
94	0.3842998651
95	0.3833871984
96	0.3821359934
97	0.3804436131
98	0.3792750119
99	0.3784546376
100	0.377609153
101	0.3766096678
102	0.3750265086
103	0.3739467025
104	0.3725922875
105	0.3713081118
106	0.3702759874
107	0.3687454038
108	0.3676890392
109	0.3669706072
110	0.3653484159
111	0.3641109812
112	0.3624049899
113	0.3612453386
114	0.3607023239
115	0.3595107468
116	0.3586178647
117	0.357632169
118	0.35667481
119	0.3558228426
120	0.354456037
121	0.3530400435
122	0.3520922062
123	0.3509171132
124	0.3507781129
125	0.3499611698
126	0.3491756664
127	0.3482579898
128	0.3472370313
129	0.3459990462
130	0.3447230639
131	0.3439724783
132	0.3427733624
133	0.3419991678
134	0.3412721718
135	0.3401393073
136	0.3392828644
137	0.3385752914
138	0.3379403071
139	0.3365158086
140	0.335906345
141	0.3351014683
142	0.3341250451
143	0.3335692072
144	0.332940943
145	0.3320183246
146	0.3312354841
147	0.3305085789
148	0.3296781524
149	0.3287166427
150	0.3278890084
151	0.3270310199
152	0.3260929461
153	0.3252125828
154	0.3243560244
155	0.3235341366
156	0.3226485247
157	0.321912033
158	0.3209761963
159	0.3201962014
160	0.3195310468
161	0.319033105
162	0.318307195
163	0.317676814
164	0.3170133492
165	0.3169106793
166	0.316280593
167	0.3158549783
168	0.3152646924
169	0.314507779
170	0.314399347
171	0.3139237232
172	0.3136686804
173	0.3136076897
174	0.3131894416
175	0.3122473108
176	0.311536989
177	0.3108538945
178	0.3107914351
179	0.3103047094
180	0.3102681877
181	0.3096226666
182	0.309003541
183	0.3089701914
184	0.3085657362
185	0.3082806181
186	0.3076759905
187	0.3070409831
188	0.3062864755
189	0.3055833491
190	0.3047431743
191	0.3041458532
192	0.3038173813
193	0.3032101832
194	0.3023449242
195	0.3018268029
196	0.3011881364
197	0.3005373628
198	0.2997499162
199	0.2988069802
200	0.298177231
201	0.2976263742
202	0.2972324096
203	0.2968478111
204	0.2966676095
205	0.2959037736
206	0.2952482084
207	0.2952208829
208	0.2950271419
209	0.294564549
210	0.2940101999
211	0.293493552
212	0.2928421077
213	0.2923957474
214	0.2919916674
215	0.2915171749
216	0.2909565333
217	0.2904115332
218	0.2898262969
219	0.2891683804
220	0.2886680227
221	0.288438785
222	0.2880320643
223	0.2871039546
224	0.2863500131
225	0.2858094996
226	0.2851554675
227	0.2847226371
228	0.2837534739
229	0.2834524072
230	0.2830089258
231	0.2826360006
232	0.282086595
233	0.2817495646
234	0.2812621398
235	0.2808585371
236	0.2803905928
237	0.2800886834
238	0.2800484014
239	0.2796817585
240	0.2792377255
241	0.2786994554
242	0.2783771009
243	0.2779650707
244	0.2774074614
245	0.2768626823
246	0.2761817685
247	0.2757149181
248	0.2752776023
249	0.2748848012
250	0.2744413982
251	0.2739573907
252	0.2734758672
253	0.2731591806
254	0.2725455508
255	0.2719407726
256	0.271394871
257	0.2713751142
258	0.2713176903
259	0.2712868424
260	0.270998575
261	0.2703974027
262	0.2703407882
263	0.2699120271
264	0.2693286343
265	0.2689075705
266	0.2683296907
267	0.2677868938
268	0.267077644
269	0.2666027103
270	0.2659151084
271	0.2654108936
272	0.2649191302
273	0.2645382026
274	0.2643319082
275	0.2638752274
276	0.2634117008
277	0.2630131984
278	0.2625270632
279	0.2622144705
280	0.2617453598
281	0.2612356415
282	0.2609123479
283	0.2606454992
284	0.260188833
285	0.2600194161
286	0.2597136253
287	0.2594136573
288	0.2590695785
289	0.2586669074
290	0.2580751003
291	0.2578949825
292	0.2572935324
293	0.2568784766
294	0.2565070378
295	0.2561640663
296	0.2559157779
297	0.2557916594
298	0.2554879305
299	0.2550011979
