iter	Passed	Remaining
0	4	1358
1	8	1332
2	12	1278
3	16	1220
4	19	1162
5	23	1128
6	26	1102
7	29	1066
8	31	1031
9	34	1010
10	38	1006
11	41	1002
12	44	988
13	47	973
14	50	963
15	53	953
16	57	951
17	60	940
18	62	928
19	65	918
20	68	916
21	72	911
22	75	904
23	77	894
24	80	888
25	84	885
26	87	884
27	90	877
28	93	870
29	96	864
30	99	862
31	102	856
32	105	852
33	108	847
34	111	842
35	114	840
36	117	837
37	120	833
38	123	827
39	126	820
40	129	818
41	132	814
42	135	810
43	138	804
44	141	799
45	144	798
46	147	796
47	150	791
48	153	787
49	156	783
50	159	779
51	162	777
52	165	772
53	168	768
54	171	763
55	174	762
56	177	758
57	181	756
58	184	752
59	187	748
60	190	746
61	193	741
62	196	739
63	199	735
64	202	731
65	205	730
66	208	726
67	211	721
68	214	717
69	217	715
70	220	710
71	223	707
72	226	704
73	229	699
74	232	697
75	235	693
76	238	691
77	241	688
78	244	684
79	247	680
80	250	677
81	254	675
82	256	671
83	259	668
84	263	666
85	266	662
86	269	660
87	272	656
88	275	653
89	278	650
90	281	646
91	284	644
92	287	640
93	290	637
94	294	634
95	296	631
96	300	628
97	303	625
98	306	622
99	310	620
100	313	616
101	316	613
102	319	610
103	322	607
104	325	604
105	329	602
106	332	599
107	334	595
108	338	592
109	341	589
110	345	588
111	348	584
112	351	581
113	354	578
114	357	575
115	361	572
116	364	569
117	367	566
118	370	563
119	373	560
120	376	557
121	379	554
122	382	550
123	386	548
124	388	544
125	392	542
126	395	538
127	398	535
128	402	532
129	405	529
130	408	526
131	411	523
132	414	520
133	417	517
134	420	514
135	424	511
136	427	508
137	429	504
138	433	501
139	436	499
140	439	495
141	442	492
142	445	489
143	449	486
144	452	483
145	455	480
146	458	477
147	462	474
148	465	471
149	468	468
150	471	465
151	475	462
152	478	459
153	481	456
154	484	453
155	487	450
156	490	446
157	493	443
158	496	440
159	500	437
160	502	434
161	505	430
162	508	427
163	511	424
164	515	421
165	517	418
166	520	414
167	524	411
168	527	408
169	530	405
170	533	402
171	536	399
172	539	396
173	542	392
174	546	390
175	548	386
176	551	383
177	555	380
178	557	377
179	561	374
180	564	370
181	567	367
182	570	364
183	573	361
184	576	358
185	579	355
186	582	352
187	585	349
188	588	345
189	592	342
190	595	339
191	598	336
192	601	333
193	604	330
194	608	327
195	611	324
196	614	321
197	617	318
198	621	315
199	624	312
200	627	309
201	630	305
202	633	302
203	637	299
204	640	296
205	643	293
206	646	290
207	649	287
208	652	284
209	655	281
210	659	278
211	662	275
212	665	271
213	668	268
214	671	265
215	674	262
216	678	259
217	681	256
218	684	253
219	688	250
220	691	247
221	694	244
222	697	240
223	700	237
224	704	234
225	707	231
226	710	228
227	713	225
228	716	222
229	719	219
230	722	215
231	726	212
232	729	209
233	732	206
234	736	203
235	739	200
236	742	197
237	745	194
238	748	191
239	751	187
240	754	184
241	757	181
242	760	178
243	763	175
244	766	172
245	769	169
246	772	165
247	776	162
248	779	159
249	782	156
250	785	153
251	788	150
252	792	147
253	795	143
254	798	140
255	801	137
256	804	134
257	807	131
258	810	128
259	813	125
260	816	122
261	819	118
262	822	115
263	825	112
264	828	109
265	832	106
266	835	103
267	838	100
268	842	97
269	845	93
270	848	90
271	851	87
272	854	84
273	858	81
274	861	78
275	864	75
276	868	72
277	871	68
278	874	65
279	877	62
280	880	59
281	884	56
282	887	53
283	890	50
284	893	47
285	896	43
286	899	40
287	902	37
288	906	34
289	909	31
290	912	28
291	915	25
292	918	21
293	921	18
294	925	15
295	928	12
296	931	9
297	934	6
298	937	3
299	940	0
