iter	Passed	Remaining
0	7	1517
1	15	1515
2	22	1470
3	28	1410
4	33	1319
5	38	1245
6	43	1191
7	47	1135
8	51	1090
9	55	1054
10	59	1020
11	63	989
12	67	964
13	70	937
14	75	925
15	78	908
16	83	895
17	87	883
18	91	871
19	95	858
20	99	848
21	103	836
22	107	830
23	112	822
24	116	812
25	119	800
26	123	793
27	128	787
28	131	776
29	135	767
30	139	761
31	144	756
32	148	749
33	152	744
34	155	735
35	160	729
36	164	723
37	167	716
38	172	710
39	176	706
40	180	699
41	183	691
42	187	686
43	191	680
44	196	675
45	199	668
46	203	663
47	208	659
48	212	654
49	216	648
50	220	643
51	223	637
52	228	633
53	232	628
54	236	622
55	240	617
56	244	612
57	248	608
58	252	602
59	256	597
60	260	593
61	264	588
62	268	583
63	272	579
64	277	575
65	280	570
66	284	564
67	288	559
68	292	555
69	296	550
70	299	544
71	303	539
72	307	535
73	312	531
74	316	527
75	320	522
76	324	518
77	327	512
78	331	508
79	335	503
80	340	499
81	344	495
82	348	491
83	353	487
84	357	483
85	360	478
86	365	474
87	368	469
88	373	465
89	377	461
90	381	457
91	385	452
92	389	448
93	392	443
94	397	439
95	401	435
96	405	430
97	409	426
98	413	422
99	417	417
100	421	413
101	425	408
102	429	404
103	434	400
104	437	396
105	441	391
106	446	387
107	450	383
108	453	378
109	458	374
110	461	370
111	466	366
112	470	362
113	474	357
114	478	353
115	483	349
116	487	345
117	491	341
118	495	337
119	499	333
120	504	329
121	508	324
122	512	320
123	516	316
124	521	312
125	525	308
126	529	304
127	534	300
128	538	296
129	542	292
130	547	288
131	551	284
132	556	280
133	560	275
134	563	271
135	568	267
136	572	263
137	576	258
138	580	254
139	585	250
140	589	246
141	593	242
142	597	238
143	601	234
144	606	230
145	610	225
146	614	221
147	618	217
148	623	213
149	626	208
150	630	204
151	633	200
152	638	195
153	642	191
154	646	187
155	650	183
156	655	179
157	659	175
158	663	171
159	667	166
160	672	162
161	675	158
162	680	154
163	683	150
164	687	145
165	691	141
166	695	137
167	698	133
168	702	128
169	707	124
170	710	120
171	714	116
172	718	112
173	723	108
174	727	103
175	730	99
176	735	95
177	739	91
178	743	87
179	747	83
180	752	78
181	755	74
182	760	70
183	763	66
184	767	62
185	772	58
186	776	53
187	780	49
188	784	45
189	789	41
190	793	37
191	798	33
192	802	29
193	806	24
194	810	20
195	814	16
196	818	12
197	823	8
198	827	4
199	831	0
